Anno,Entità,Data Overshoot,Stato DOS,Biocapacità (Gha/persona),Imponta Eco(Gha/persona),Biocapacità Totale (M Gha),Impronta Eco Totale (M Gha),Quante Terre
2024,Sud America,20 September,Disponibile,4.68,2.45,"2,845,596,419.07","1,489,752,614.08",1.7
2024,USA,14 March,Disponibile,3.74,7.48,"1,277,416,684.02","2,555,792,498.85",5.1
2025,Africa,05 December,Disponibile,0.83,1.14,"1,107,763,008.25","1,507,083,365.01",0.8
2025,Asia,20 July,Disponibile,0.61,2.28,"2,665,849,039.11","10,048,610,737.64",1.6
2025,Australia,03 March,Disponibile,11.87,7.21,"322,478,498.64","195,527,867.42",4.9
2025,Brasile,05 August,Disponibile,7.96,2.35,"1,749,856,956.95","516,386,020.55",1.6
2025,Canada,12 March,Disponibile,13.93,7.83,"553,048,508.25","310,617,063.16",5.3
2025,Centro America,10 October,Disponibile,1.2,2.41,"207,736,818.63","417,367,261.64",1.6
2025,Cina,30 May,Disponibile,0.72,3.74,"1,058,322,566.23","5,492,485,750.65",2.5
2025,Egitto,12 November,Disponibile,0.22,1.29,"26,115,735.86","151,488,512.94",0.9
2025,Europa,02 May,Disponibile,3.16,4.69,"2,150,536,896.59","3,188,188,089.42",3.2
2025,Francia,04 May,Disponibile,2.56,4.77,"166,254,524.51","310,116,082.79",3.2
2025,Germania,30 April,Disponibile,1.6,4.08,"133,755,985.98","342,161,442.08",2.8
2025,Giappone,10 May,Disponibile,0.63,4.00,"76,791,705.17","489,423,783.39",2.7
2025,Italia,10 May,Disponibile,0.93,4.38,"54,620,899.91","256,643,537.54",3.0
2025,Lussemburgo,18 February,Disponibile,1.25,11.01,"852,208.83","7,547,455.92",7.5
2025,Mondo,28 July,Disponibile,1.47,2.63,"12,050,682,220.96","21,577,285,045.55",1.8
2025,Qatar,09 February,Disponibile,0.92,14.41,"2,590,306.75","40,477,459.83",9.8
2025,Regno Unito,07 May,Disponibile,1.11,3.63,"75,822,732.89","249,027,704.99",2.5
2025,Sud Africa,10 September,Disponibile,1.2,2.96,"73,968,650.93","182,720,855.08",2.0
2025,Sud America,15 September,Disponibile,4.63,2.40,"2,842,311,558.87","1,476,039,581.41",1.6
2025,USA,12 March,Disponibile,3.71,7.41,"1,277,666,890.63","2,555,251,107.10",5.0
2026,Africa,01 December,Disponibile,0.81,1.12,"1,106,153,630.05","1,512,363,954.34",0.8
